Company,Company Description,Market Cap,Stock Price,PE Ratio,EPS,Market Cap Real
124) Dollar General (DG),"Dollar General Corporation, a discount retailer, provides various merchandise products in the southern, southwestern, Midwestern, and eastern United States. The company offers consumable products, inc...See Company Profile ...Dividend History ...List of ETFs holding DG",$52.68,$211.52,21.67,9.19,"$52,680,000,000"
125) Chubb (CB),"Chubb Limited, through its subsidiaries, provides insurance and reinsurance products worldwide. Its North America Commercial P&C Insurance segment offers commercial property, marine, general casualty,...See Company Profile ...Dividend History ...List of ETFs holding CB",$52.61,$116.56,10.64,4.82,"$52,610,000,000"
126) Northrop Grumman (NOC),"Northrop Grumman Corporation, incorporated on August 4, 2010, is a global security company. The Company provides products, systems and solutions in autonomous systems; cyber; command, control, communications and computers, intelligence, ...See Company Profile ...Dividend History ...List of ETFs holding NOC",$52.34,$313.95,12.43,14.21,"$52,340,000,000"
127) Micron (MU),"Micron Technology, Inc., incorporated on April 6, 1984, is engaged in semiconductor systems. The Companys portfolio of memory technologies, including dynamic random-access memory (DRAM), negative-AND (NAND) Flash and NOR Flash ...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding MU",$51.72,$46.55,7.78,2.37,"$51,720,000,000"
128) Kimberly-Clark (KMB),"Kimberly-Clark Corporation, incorporated on June 29, 1928, is engaged in the manufacturing and marketing of a range of products made from natural or synthetic fibers. The Companys segments include Personal ...See Company Profile ...Dividend History ...List of ETFs holding KMB",$50.28,$147.43,18.69,7.45,"$50,280,000,000"
129) Newmont Mining (NEM),"Newmont Mining Corporation, together with its subsidiaries, operates in the mining industry. The company primarily acquires, develops, explores for, and produces gold, copper, and silver. Its operatio...See Company Profile ...Dividend History ...List of ETFs holding NEM",$50.02,$62.29,14.25,4.8,"$50,020,000,000"
130) Autodesk (ADSK),"Autodesk, Inc. (Autodesk), incorporated on May 10, 1994, is a design software and services company, offering customers productive business solutions through technology products and services. The Company serves customers in ...See Company Profile ...Dividend History ...List of ETFs holding ADSK",$49.46,$225.56,42.24,1.63,"$49,460,000,000"
131) Edwards Lifesciences (EW),"Edwards Lifesciences Corporation, incorporated on September 10, 1999, is a manufacturer of heart valve systems and repair products used to replace or repair a patients diseased or defective heart valve. ...See Company Profile ...Dividend History ...List of ETFs holding EW",$49,$78.81,35.66,1.18,"$49,000,000,000"
132) Charles Schwab (SCHW),"The Charles Schwab Corporation (CSC), incorporated on November 25, 1986, is a savings and loan holding company. The Company, through its subsidiaries, engages in wealth management, securities brokerage, banking, money ...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding SCHW",$48.54,$37.67,20.93,2.39,"$48,540,000,000"
133) Waste Management (WM),"Waste Management, Inc. (WM), incorporated on April 28, 1995, is a holding company. The Company, through its subsidiaries, is a provider of waste management environmental services. The Companys segments include ...See Company Profile ...Dividend History ...List of ETFs holding WM",$48.11,$113.89,26,3.78,"$48,110,000,000"
134) Lam Research (LRCX),"Lam Research Corporation, incorporated on October 8, 1989, is a supplier of wafer fabrication equipment and services to the semiconductor industry. The Company designs, manufactures, markets, refurbishes and services semiconductor ...See Company Profile ...Dividend History ...List of ETFs holding LRCX",$47.87,$328.71,13.68,15.1,"$47,870,000,000"
135) PNC Financial (PNC),"The PNC Financial Services Group, Inc., incorporated on January 19, 1983, is a diversified financial services company. The Company has businesses engaged in retail banking, corporate and institutional banking, asset ...See Company Profile ...Dividend History ...List of ETFs holding PNC",$47.61,$112.16,15.51,16.11,"$47,610,000,000"
136) Aon PLC (AON),"Aon plc, incorporated on December 8, 2011, is a provider of risk management services, insurance and reinsurance brokerage, and human resource (HR) consulting and outsourcing. The Company operates through two ...See Company Profile ...Dividend History ...List of ETFs holding AON",$47.61,$205.52,19.28,7.48,"$47,610,000,000"
137) Illumina (ILMN),"Illumina, Inc. (Illumina), incorporated on May 16, 2000, is a provider of sequencing- and array-based solutions for genetic analysis. The Company operates through two segments: Core Illumina and the consolidated ...See Company Profile ...Dividend History ...List of ETFs holding ILMN",$45.14,$308.43,44.25,4.68,"$45,140,000,000"
138) Biogen (BIIB),"Biogen Inc., incorporated on April 1, 1997, is a biopharmaceutical company. The Company focuses on discovering, developing, manufacturing and delivering therapies to people living with serious neurological, rare and autoimmune ...See Company Profile ...Dividend History ...List of ETFs holding BIIB",$43.95,$277.64,9.01,34.04,"$43,950,000,000"
139) General Motors (GM),"General Motors Company, incorporated on August 11, 2009, designs, builds and sells cars, trucks, crossovers and automobile parts. The Companys segments include GM North America (GMNA), GM Europe (GME), GM ...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding GM",$43.59,$30.46,6.88,1.06,"$43,590,000,000"
140) HCA (HCA),"HCA Holdings, Inc., incorporated on October 19, 2010, is a holding company. The Company, through its subsidiaries, owns and operates hospitals and related healthcare entities. As of December 31, 2016, ...See Company Profile ...Dividend History ...List of ETFs holding HCA",$42.95,$127.05,11.01,9.69,"$42,950,000,000"
141) American Electric Power (AEP),"American Electric Power Company, Inc., an electric public utility holding company, engages in the generation, transmission, and distribution of electricity for sale to retail and wholesale customers i...See Company Profile ...Dividend History ...List of ETFs holding AEP",$42.32,$85.30,18.34,3.83,"$42,320,000,000"
142) Analog Devices (ADI),"Analog Devices, Inc. (Analog Devices), incorporated on January 18, 1965, designs, manufactures and markets a portfolio of solutions that leverage high-performance analog, mixed-signal and digital signal processing(DSP) technology, including integrated ...See Company Profile ...Dividend History ...List of ETFs holding ADI",$42.13,$114.01,20.58,2.99,"$42,130,000,000"
143) Monster Beverage (MNST),"Monster Beverage Corporation, incorporated on August 12, 2014, develops, markets, sells and distributes energy drink beverages, sodas and/or concentrates for energy drink beverages, primarily under various brand names, including Monster ...See Company Profile ...Dividend History ...List of ETFs holding MNST",$41.95,$79.55,31.2,2.12,"$41,950,000,000"
144) Digital Realty Trust (DLR),"Digital Realty supports the data center, colocation and interconnection strategies of more than 2,300 firms across its secure, network-rich portfolio of data centers located throughout North America, ...See Company Profile ...Dividend History ...List of ETFs holding DLR",$41.63,$149.35,102.29,2.72,"$41,630,000,000"
145) Roper (ROP),"Roper Technologies, Inc., incorporated on December 17, 1981, is a technology company. The Company operates businesses that design and develop software and engineered products and solutions for various end markets, ...See Company Profile ...Dividend History ...List of ETFs holding ROP",$41.44,$395.72,28.21,15.27,"$41,440,000,000"
146) Eaton (ETN),"Eaton Corporation plc (Eaton), incorporated on May 10, 2012, is a power management company. The Company provides solutions that help its customers manage electrical, hydraulic and mechanical power. Its segments ...See Company Profile ...Dividend History ...List of ETFs holding ETN",$41.07,$102.65,20.95,3.74,"$41,070,000,000"
147) General Dynamics (GD),"General Dynamics Corporation, incorporated on February 21, 1952, is a global aerospace and defense company. The Company offers a portfolio of products and services in business aviation; combat vehicles, weapons ...See Company Profile ...Dividend History ...List of ETFs holding GD",$40.31,$140.49,11.7,11.27,"$40,310,000,000"
148) Public Storage (PSA),"Public Storage, incorporated on March 13, 2007, is a real estate investment trust (REIT). The Companys principal business activities include the ownership and operation of self-storage facilities, which offer storage ...See Company Profile ...Dividend History ...List of ETFs holding PSA",$40.31,$230.59,32.57,7,"$40,310,000,000"
149) Du Pont (DD),"E. I. du Pont de Nemours and Company (DuPont), incorporated on September 4, 1915, is a science and technology-based company. The Companys subsidiaries and affiliates conduct manufacturing, seed production or ...See Company Profile ...Dividend History ...List of ETFs holding DD",$40.19,$54.77,15.6,-3.44,"$40,190,000,000"
150) Baxter International (BAX),"Baxter International Inc., incorporated on October 19, 1931, through its subsidiaries, provides a portfolio of essential renal and hospital products, including acute and chronic dialysis; sterile intravenous (IV) solutions; infusion ...See Company Profile ...Dividend History ...List of ETFs holding BAX",$39.91,$78.83,21.42,1.79,"$39,910,000,000"
151) Emerson Electric (EMR),"Emerson Electric Co., incorporated on September 24, 1890, is a diversified global manufacturing company, which provides solutions to customers by bringing technology and engineering together in the industrial, commercial and ...See Company Profile ...Dividend History ...List of ETFs holding EMR",$39.17,$65.54,19.22,3.21,"$39,170,000,000"
152) General Mills (GIS),"General Mills, Inc. manufactures and markets branded consumer foods worldwide. The company operates in five segments: North America Retail; Convenience Stores & Foodservice; Europe & Australia; Asia &...See Company Profile ...Dividend History ...List of ETFs holding GIS",$38.26,$62.58,16.96,3.74,"$38,260,000,000"
153) L3Harris Technologies (LHX),"L3Harris Technologies, Inc. provides technology-based solutions that solve government and commercial customers' mission-critical challenges in the United States and internationally. The company operates in three segments:...See Company Profile ...Dividend History ...List of ETFs holding LHX",$37.42,$173.07,13.09,7.35,"$37,420,000,000"
154) Cognizant (CTSH),"Cognizant Technology Solutions Corporation, incorporated on April 6, 1988, is a professional services company. The Company operates through four segments: Financial Services, Healthcare, Manufacturing/Retail/Logistics, and Other. The Companys services include ...See Company Profile ...Dividend History ...List of ETFs holding CTSH",$37.34,$68.86,17.48,2.96,"$37,340,000,000"
155) Electronic Arts (EA),"Electronic Arts Inc. develops, markets, publishes, and distributes games, content, and services for game consoles, PCs, mobile phones, and tablets worldwide. The company develops and publishes games a...See Company Profile ...Dividend History ...List of ETFs holding EA",$37.28,$129.07,21.69,6.76,"$37,280,000,000"
156) Kraft Heinz (KHC),"The Kraft Heinz Company manufactures and markets food and beverage products in the United States, Canada, Europe, and internationally. Its products include condiments and sauces, cheese and dairy prod...See Company Profile ...Dividend History ...List of ETFs holding KHC",$37.25,$30.47,12.39,-0.16,"$37,250,000,000"
157) Xcel Energy (XEL),"Xcel Energy Inc., through its subsidiaries, engages primarily in the generation, purchase, transmission, distribution, and sale of electricity in the United States. It operates through Regulated Elect...See Company Profile ...Dividend History ...List of ETFs holding XEL",$37.03,$70.48,23.73,2.66,"$37,030,000,000"
158) DexCom (DXCM),"Dexcom, Inc. (Dexcom), incorporated on May 13, 1999, is a medical device company. The Company is focused on the design, development and commercialization of continuous glucose monitoring systems for ambulatory ...See Company Profile ...Dividend History ...List of ETFs holding DXCM",$36.82,$384.52,118.31,2.16,"$36,820,000,000"
159) Twitter (TWTR),"Twitter, Inc. (Twitter), incorporated on April 19, 2007, offers products and services for users, advertisers, developers and data partners. The Companys products and services include Twitter, Periscope, Promoted Tweets, Promoted ...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding TWTR",$36.48,$46.12,62.32,-1.58,"$36,480,000,000"
160) eBay (EBAY),"eBay Inc. (eBay), incorporated on March 13, 1998, is a commerce company, which operates through its Marketplace, StubHub and Classifieds platforms. The Company connects buyers and sellers around the world. ...See Company Profile ...Dividend History ...List of ETFs holding EBAY",$36.17,$51.68,13.05,6.46,"$36,170,000,000"
161) Constellation Brands (STZ),"Constellation Brands, Inc., together with its subsidiaries, produces, imports, and markets beer, wine, and spirits in the United States, Canada, Mexico, New Zealand, and Italy. The company sells wine ...See Company Profile ...Dividend History ...List of ETFs holding STZ",$35.87,$185.60,18.63,4.92,"$35,870,000,000"
162) SBA Communications (SBAC),"SBA Communications Corporation, incorporated on December 23, 1996, is an independent owner and operator of wireless communications tower structures, rooftops and other structures that support antennas used for wireless communications. ...See Company Profile ...Dividend History ...List of ETFs holding SBAC",$35.61,$318.12,113.21,-0.14,"$35,610,000,000"
163) ConocoPhillips (COP),"ConocoPhillips, incorporated on November 16, 2001, is an independent exploration and production (E&P) company. The Company explores for, produces, transports and markets crude oil, bitumen, natural gas, liquefied natural gas ...See Company Profile ...Dividend History ...List of ETFs holding COP",$35.47,$33.07,53.34,2.1,"$35,470,000,000"
164) Cintas (CTAS),"Cintas Corporation, incorporated on November 13, 1986, is a provider of corporate identity uniforms through rental and sales programs, as well as a provider of related business services, including entrance ...See Company Profile ...Dividend History ...List of ETFs holding CTAS",$35.36,$335.05,35.19,8.57,"$35,360,000,000"
165) Las Vegas Sands (LVS),"Las Vegas Sands Corp., incorporated on August 9, 2004, is a developer of destination properties (integrated resorts) that feature accommodations, gaming, entertainment and retail, convention and exhibition facilities, celebrity chef ...See Company Profile ...Dividend History ...List of ETFs holding LVS",$35.25,$46.15,23.31,0.44,"$35,250,000,000"
166) Chipotle Mexican Grill (CMG),"Chipotle Mexican Grill, Inc. (Chipotle), incorporated on January 30, 1998, together with its subsidiaries, operates Chipotle Mexican Grill restaurants. The Companys Chipotle Mexican Grill restaurants serve a menu of burritos, ...See Company Profile ...Dividend History ...List of ETFs holding CMG",$35.09,"$1,254.80",59.11,9.02,"$35,090,000,000"
167) Brown-Forman (BF.B),"Brown-Forman Corporation, incorporated on October 19, 1933, is a spirit and wine company. The Company manufactures, bottles, imports, exports, markets and sells a range of alcoholic beverages. The Company has ...See Company Profile ...Dividend History ...List of ETFs holding BF.B",$35.07,$75.63,39.39,2,"$35,070,000,000"
168) Dow Chemical (DOW),"The Dow Chemical Company (Dow), incorporated on June 11, 1947, is a manufacturer and supplier of products used primarily as raw materials in the manufacture of customer products and services. ...See Company Profile ...Dividend History ...List of ETFs holding DOW",$35.06,$47.31,20.3,-2.68,"$35,060,000,000"
169) Exelon (EXC),"Exelon Corporation, incorporated on February 4, 1999, is a utility services holding company. The Company, through its subsidiary, Exelon Generation Company, LLC (Generation), is engaged in the energy generation business. ...See Company Profile ...Dividend History ...List of ETFs holding EXC",$35.02,$35.94,12.18,2.71,"$35,020,000,000"
170) Sempra Energy (SRE),"Sempra Energy, incorporated on October 11, 1996, is a holding company. The Companys principal operating units are Sempra Utilities, which includes its San Diego Gas & Electric Company (SDG&E), Southern ...See Company Profile ...Dividend History ...List of ETFs holding SRE",$34.86,$120.50,15.04,14.53,"$34,860,000,000"
171) Centene (CNC),"Centene Corporation, incorporated on September 26, 2001, is a healthcare company. The Company provides a portfolio of services to government sponsored healthcare programs, focusing on under-insured and uninsured individuals. The ...See Company Profile ...Dividend History ...List of ETFs holding CNC",$34.76,$59.98,10.41,3.14,"$34,760,000,000"
172) Ross Stores (ROST),"Ross Stores, Inc., together with its subsidiaries, operates off-price retail apparel and home fashion stores under the Ross Dress for Less and dd's DISCOUNTS brands in the United States. It primarily ...See Company Profile ...Dividend History ...List of ETFs holding ROST",$34.26,$96.22,22.43,1.53,"$34,260,000,000"
173) Capital One (COF),"Capital One Financial Corporation, incorporated on July 21, 1994, is a diversified financial services holding company. The Company, along with its subsidiaries, offers a range of financial products and services ...See Company Profile ...Dividend History ...List of ETFs holding COF",$34.22,$74.94,10.29,-0.26,"$34,220,000,000"
174) MetLife (MET),"MetLife, Inc. (MetLife), incorporated on August 10, 1999, is a provider of life insurance, annuities, employee benefits and asset management. The Companys segments include U.S.; Asia; Latin America; Europe, the ...See Company Profile ...Dividend History ...List of ETFs holding MET",$34.16,$37.63,6.19,7.71,"$34,160,000,000"
175) O'Reilly Automotive (ORLY),"OReilly Automotive, Inc., incorporated on December 20, 2010, is a specialty retailer of automotive aftermarket parts, tools, supplies, equipment and accessories in the United States. The Company sells its products ...See Company Profile ...Dividend History ...List of ETFs holding ORLY",$33.94,$458.24,20.77,20.37,"$33,940,000,000"
176) IDEXX Laboratories (IDXX),"IDEXX Laboratories, Inc., incorporated on December 19, 1983, develops, manufactures and distributes products and provides services primarily for the companion animal veterinary, livestock and poultry, dairy and water testing markets. ...See Company Profile ...Dividend History ...List of ETFs holding IDXX",$32.65,$383.85,61.03,5.29,"$32,650,000,000"
177) Amphenol (APH),"Amphenol Corporation (Amphenol), incorporated on December 19, 1986, is a designer, manufacturer and marketer of electrical, electronic and fiber optic connectors, interconnect systems, antennas, sensors and sensor- based products, and ...See Company Profile ...Dividend History ...List of ETFs holding APH",$32.61,$109.36,27.34,3.59,"$32,610,000,000"
178) TE Connectivity (TEL),"TE Connectivity Ltd., together with its subsidiaries, manufactures and sells connectivity and sensors solutions in Europe, the Middle East, Africa, the AsiaPacific, and the Americas. The company operates thro...See Company Profile ...Dividend History ...List of ETFs holding TEL",$32.46,$98.36,19.95,-0.3,"$32,460,000,000"
179) Synopsys (SNPS),"Synopsys, Inc., incorporated on May 7, 1987, provides software, intellectual property (IP) and services. The Company supplies the electronic design automation (EDA) software that engineers use to design and test ...See Company Profile ...Dividend History ...List of ETFs holding SNPS",$32.18,$212.05,34.48,4.04,"$32,180,000,000"
180) Sysco (SYY),"Sysco Corporation (Sysco), incorporated on May 8, 1969, is a distributor of food and related products primarily to the foodservice or food-away-from-home industry. The Companys segments include Broadline, SYGMA and ...See Company Profile ...Dividend History ...List of ETFs holding SYY",$32.12,$63.17,21.06,0.42,"$32,120,000,000"
181) IHS Markit (INFO),"IHS Markit Ltd., formerly Markit Ltd., incorporated on January 16, 2014, is a provider of critical information and analytics for the major industries, financial markets and governments. The Company operates ...See Company Profile ...Dividend History ...List of ETFs holding INFO",$31.27,$78.50,24.76,2.29,"$31,270,000,000"
182) Cummins (CMI),"Cummins Inc., incorporated on February 3, 1919, designs, manufactures, distributes and services diesel and natural gas engines and engine-related component products, including filtration, aftertreatment, turbochargers, fuel systems, controls systems, air ...See Company Profile ...Dividend History ...List of ETFs holding CMI",$31.06,$210.34,17.68,11.28,"$31,060,000,000"
183) Walgreens Boots Alliance (WBA),"Walgreens Boots Alliance, Inc., incorporated on September 2, 2014, is a holding company. The Company is a pharmacy-led health and wellbeing company. The Company operates through three segments: Retail Pharmacy ...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding WBA",$31,$35.77,7.23,0.85,"$31,000,000,000"
184) Johnson Controls International (JCI),"Johnson Controls International plc, formerly Tyco International plc, incorporated on May 9, 2014, is a global diversified technology and multi industrial company. The Companys segments include Buildings, Automotive Experience and ...See Company Profile ...Dividend History ...List of ETFs holding JCI",$30.95,$41.59,16.98,1.05,"$30,950,000,000"
185) Marriott International (MAR),"Marriott International, Inc. (Marriott International), incorporated on September 19, 1997, is a lodging company. As of December 31, 2016, the Company operated, franchised, or licensed 6,080 properties across the world, ...See Company Profile ...Dividend History ...List of ETFs holding MAR",$30.89,$95.25,32.51,1.41,"$30,890,000,000"
186) Agilent (A),"Agilent Technologies, Inc., incorporated on May 4, 1999, provides application focused solutions that include instruments, software, services and consumables for the entire laboratory workflow. The Company serves the life sciences, ...See Company Profile ...Dividend History ...List of ETFs holding A",$30.83,$100.01,27.25,2.21,"$30,830,000,000"
187) Wec Energy (WEC),"WEC Energy Group, Inc., incorporated on June 26, 1981, was a diversified holding company with natural gas and electric utility operations (serving customers in Wisconsin, Illinois, Michigan, and Minnesota), an ...See Company Profile ...Dividend History ...List of ETFs holding WEC",$30.82,$97.71,24.43,3.7,"$30,820,000,000"
188) Bank of New York Mellon (BK),"The Bank of New York Mellon Corporation, incorporated on February 9, 2007, is an investments company. The Company operates businesses through two segments: Investment Management and Investment Services. The Company ...See Company Profile ...Dividend History ...List of ETFs holding BK",$30.78,$34.74,8.93,4.64,"$30,780,000,000"
189) IQVIA Holdings (IQV),"IQVIA Holdings Inc., formerly Quintiles IMS Holdings, Inc., incorporated on October 3, 2016, provides integrated information and technology-enabled healthcare services. The Company operates through segments, including Commercial Solutions; Research & Development Solutions, and Integrated Engagement Services. ...List of ETFs holding IQV",$30,$156.83,20.8,0.67,"$30,000,000,000"
190) Eversource Energy (ES),"Eversource Energy, incorporated on January 15, 1927, is a utility holding company. The Company is engaged in the energy delivery business. It operates through three segments: electric distribution, electric transmission ...See Company Profile ...Dividend History ...List of ETFs holding ES",$29.96,$87.05,22.44,3.48,"$29,960,000,000"
191) KLA-Tencor (KLAC),"KLA-Tencor Corporation (KLA-Tencor), incorporated on July 9, 1975, is a supplier of process control and yield management solutions for the semiconductor and related nanoelectronics industries. The Companys products are also ...See Company Profile ...Dividend History ...List of ETFs holding KLAC",$29.84,$191.96,15.64,7.7,"$29,840,000,000"
192) Hershey (HSY),"The Hershey Company, incorporated on October 24, 1927, is a producer of chocolate in North America. The Companys principal product offerings include chocolate and non-chocolate confectionery products; gum and mint ...See Company Profile ...Dividend History ...List of ETFs holding HSY",$29.73,$142.92,22.3,5.11,"$29,730,000,000"
193) Republic (RSG),"Republic Services, Inc., incorporated on December 20, 1996, is a provider of non-hazardous solid waste collection, transfer, disposal, recycling and energy services. The Companys segments include Group 1, Group 2 ...See Company Profile ...Dividend History ...List of ETFs holding RSG",$29.72,$93.32,26.59,3.3,"$29,720,000,000"
194) Trane Technologies (TT),"Trane Technologies Public Limited Company manufactures industrial equipment. The Company offers central heaters, air conditioners, electric vehicles, air cleaners, and fluid handling products. Trane Technologies serves customers worldwide....See Company Profile ...Dividend History ...List of ETFs holding TT",$29.65,$123.86,0,0,"$29,650,000,000"
195) Verisk Analytics (VRSK),"Verisk Analytics, Inc., incorporated on May 23, 2008, is a data analytics provider serving customers in insurance, natural resources and financial services. The Company operates through two segments: Risk Assessment ...See Company Profile ...Dividend History ...List of ETFs holding VRSK",$29.57,$182.10,34.17,3.11,"$29,570,000,000"
196) PACCAR (PCAR),"PACCAR Inc (PACCAR), incorporated on November 19, 1971, is a technology company. The Companys segments include Truck, Parts and Financial Services. The Truck segment includes the design, manufacture and distribution ...See Company Profile ...Dividend History ...List of ETFs holding PCAR",$29.42,$84.99,17.42,4.74,"$29,420,000,000"
197) Cadence Design (CDNS),"Cadence Design Systems, Inc., incorporated on April 8, 1987, provides solutions that enable its customers to design electronic products. The Companys product categories include Functional Verification, Digital integrated circuits (IC) ...See Company Profile ...Dividend History ...List of ETFs holding CDNS",$29.36,$105.32,38.44,3.64,"$29,360,000,000"
198) T. Rowe Price (TROW),"T. Rowe Price Group, Inc., incorporated on February 4, 2000, is a financial services holding company. The Company provides global investment management services through its subsidiaries to investors across the ...See Company Profile ...Dividend History ...List of ETFs holding TROW",$29.30,$129.09,13.73,8.43,"$29,300,000,000"
199) MSCI (MSCI),"MSCI Inc. (MSCI), incorporated on July 2, 1998, offers products and services to support the needs of institutional investors throughout their investment processes. The Companys segments include Index, Analytics and ...See Company Profile ...Dividend History ...List of ETFs holding MSCI",$29.12,$348.16,42.3,6.14,"$29,120,000,000"
200) Best Buy (BBY),"Best Buy Co., Inc. operates as a retailer of technology products, services, and solutions in the United States, Canada, and Mexico. The company operates in two segments, Domestic and International. It...See Company Profile ...Dividend History ...List of ETFs holding BBY",$29.10,$112.42,15.92,6.18,"$29,100,000,000"
201) PPG Industries (PPG),"PPG Industries, Inc., incorporated on August 24, 1883, manufactures and distributes a range of coatings and specialty materials. The Company has three segments: Performance Coatings, Industrial Coatings and Glass. The ...See Company Profile ...Dividend History ...List of ETFs holding PPG",$29.09,$123.27,19.69,4.23,"$29,090,000,000"
202) Allstate (ALL),"The Allstate Corporation (Allstate), incorporated on November 5, 1992, is a holding company for Allstate Insurance Company. The Companys business is conducted principally through Allstate Insurance Company, Allstate Life Insurance ...See Company Profile ...Dividend History ...List of ETFs holding ALL",$29.05,$93.02,7.96,13.35,"$29,050,000,000"
203) Yum! Brands (YUM),"YUM! Brands, Inc., together with its subsidiaries, develops, operates, and franchises quick service restaurants worldwide. It operates in three segments: the KFC Division, the Pizza Hut Division, and ...See Company Profile ...Dividend History ...List of ETFs holding YUM",$28.68,$95.17,24.4,3.34,"$28,680,000,000"
204) Paychex (PAYX),"Paychex, Inc., incorporated on April 26, 1979, is a provider of integrated human capital management (HCM) solutions for payroll, human resource (HR), retirement and insurance services for small- to medium-sized ...See Company Profile ...Dividend History ...List of ETFs holding PAYX",$28.59,$79.43,26.48,3.04,"$28,590,000,000"
205) Zimmer Biomet (ZBH),"Zimmer Biomet Holdings, Inc., incorporated on January 12, 2001, is engaged in designing, manufacturing and marketing of orthopedic reconstructive products; sports medicine, biologics, extremities and trauma products; office-based technologies; spine, ...See Company Profile ...Dividend History ...List of ETFs holding ZBH",$28.51,$137.69,17.58,0.18,"$28,510,000,000"
206) D R Horton (DHI),"D.R. Horton, Inc. operates as a homebuilding company in East, Midwest, Southeast, South Central, Southwest, and West regions in the United States. It engages in the acquisition and development of land...See Company Profile ...Dividend History ...List of ETFs holding DHI",$28.33,$77.89,11.63,5.52,"$28,330,000,000"
207) Public Serv. (PEG),"Public Service Enterprise Group Incorporated (PSEG), incorporated on July 25, 1985, is a holding company. The Company is an energy company with operations located primarily in the Northeastern and Mid- ...See Company Profile ...Dividend History ...List of ETFs holding PEG",$28.30,$55.95,16.5,3.42,"$28,300,000,000"
208) V.F. Corp (VFC),"V.F. Corporation (VF), incorporated in December 4, 1899, is engaged in the design, production, procurement, marketing and distribution of branded lifestyle apparel, footwear and related products. The Companys segments include ...See Company Profile ...Dividend History ...List of ETFs holding VFC",$28.26,$72.53,28.33,0.87,"$28,260,000,000"
209) Kinder Morgan (KMI),"Kinder Morgan, Inc., incorporated on August 23, 2006, is an energy infrastructure company in North America. The Company operates through five segments: Natural Gas Pipelines, CO2, Terminals, Products Pipelines and ...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding KMI",$27.86,$12.31,13.1,0.07,"$27,860,000,000"
210) ANSYS (ANSS),"ANSYS, Inc. (ANSYS), incorporated on January 12, 1994, develops and markets engineering simulation software and services used by engineers, designers, researchers and students across a range of industries and academia, ...See Company Profile ...Dividend History ...List of ETFs holding ANSS",$27.59,$321.58,46.54,4.59,"$27,590,000,000"
211) AutoZone (AZO),"Autozone, Inc., incorporated on November 25, 1991, is a retailer and distributor of automotive replacement parts and accessories in the United States. The Company operates through the Auto Parts Locations ...See Company Profile ...Dividend History ...List of ETFs holding AZO",$27.51,"$1,176.99",14.24,71.93,"$27,510,000,000"
212) Travelers Companies (TRV),"The Travelers Companies, Inc., incorporated on March 5, 1853, is a holding company. The Company operates through three segments: Business and International Insurance; Bond & Specialty Insurance, and Personal Insurance. ...See Company Profile ...Dividend History ...List of ETFs holding TRV",$27.49,$108.58,10.5,7.06,"$27,490,000,000"
213) Ford (F),"Ford Motor Company, incorporated on July 9, 1919, is a global automotive and mobility company. The Companys business includes designing, manufacturing, marketing, and servicing a line of Ford cars, trucks, ...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding F",$27.41,$6.89,9.7,-0.54,"$27,410,000,000"
214) Otis Worldwide (OTIS),"Otis Worldwide Corporation manufactures, installs, and services elevators and escalators worldwide. The company operates through two segments, New Equipment and Service. The New Equipment segment designs, manufactures, sells, and installs a range of passenger and freight elevators, as well as escalators and...See Company Profile ...Dividend History ...List of ETFs holding OTIS",$27.35,$63.16,0,0,"$27,350,000,000"
215) Carrier Global (CARR),"Carrier Global Corporation provides heating, ventilating, and air conditioning (HVAC), refrigeration, fire, security, and building automation technologies worldwide. It operates through three segments: HVAC, Refrigeration, and Fire & Security. The HVAC segment provides products, controls, services, and solutions to meet the heating and cooling needs of residential and commercial customers. Its products include air conditioners, heating systems, controls, and aftermarket components, as well as aftermarket repair and maintenance services and building automation solutions....See Company Profile ...Dividend History ...List of ETFs holding CARR",$27.05,$31.23,0,0,"$27,050,000,000"
216) Willis Towers Watson (WLTW),"Willis Towers Watson Public Limited Company (Willis Towers Watson), incorporated on September 24, 2009, is a holding company. The Company operates as a global advisory, broking and solutions company. It ...See Company Profile ...Dividend History ...List of ETFs holding WLTW",$27.01,$209.61,17.14,7.83,"$27,010,000,000"
217) Ball Corp (BLL),"Ball Corporation (Ball), incorporated on December 19, 1922, is a supplier of metal packaging to the beverage, food, personal care and household products industries. The Companys packaging products are produced ...See Company Profile ...Dividend History ...List of ETFs holding BLL",$27,$82.67,26.16,1.09,"$27,000,000,000"
218) American Water Works (AWK),"American Water Works Company, Inc., incorporated on August 28, 1936, is a holding company for regulated and market-based subsidiaries throughout the United States and Ontario, Canada. The Companys Regulated Businesses ...See Company Profile ...Dividend History ...List of ETFs holding AWK",$26.99,$148.96,35.22,3.52,"$26,990,000,000"
219) Parker-Hannifin (PH),"Parker-Hannifin Corporation, incorporated on December 30, 1938, is a manufacturer of motion and control technologies and systems, providing precision engineered solutions for a range of mobile, industrial and aerospace markets. ...See Company Profile ...Dividend History ...List of ETFs holding PH",$26.70,$207.30,15.97,9.29,"$26,700,000,000"
