,Date,Close,Symbol
0,2019-10-21,189.759995,FB
1,2019-10-21,60.127499,AAPL
2,2019-10-21,138.429993,MSFT
3,2019-10-22,182.33999599999999,FB
4,2019-10-22,59.990002000000004,AAPL
5,2019-10-22,136.369995,MSFT
6,2019-10-23,186.149994,FB
7,2019-10-23,60.794998,AAPL
8,2019-10-23,137.240005,MSFT
9,2019-10-24,186.380005,FB
10,2019-10-24,60.895,AAPL
11,2019-10-24,139.940002,MSFT
12,2019-10-25,187.889999,FB
13,2019-10-25,61.645,AAPL
14,2019-10-25,140.729996,MSFT
15,2019-10-28,189.399994,FB
16,2019-10-28,62.262501,AAPL
17,2019-10-28,144.190002,MSFT
18,2019-10-29,189.309998,FB
19,2019-10-29,60.822497999999996,AAPL
20,2019-10-29,142.830002,MSFT
21,2019-10-30,188.25,FB
22,2019-10-30,60.814999,AAPL
23,2019-10-30,144.610001,MSFT
24,2019-10-31,191.649994,FB
25,2019-10-31,62.189999,AAPL
26,2019-10-31,143.369995,MSFT
27,2019-11-01,193.619995,FB
28,2019-11-01,63.955002,AAPL
29,2019-11-01,143.720001,MSFT
30,2019-11-04,194.720001,FB
31,2019-11-04,64.375,AAPL
32,2019-11-04,144.550003,MSFT
33,2019-11-05,194.320007,FB
34,2019-11-05,64.282501,AAPL
35,2019-11-05,144.46000700000002,MSFT
36,2019-11-06,191.550003,FB
37,2019-11-06,64.309998,AAPL
38,2019-11-06,144.059998,MSFT
39,2019-11-07,190.419998,FB
40,2019-11-07,64.85749799999999,AAPL
41,2019-11-07,144.259995,MSFT
42,2019-11-08,190.83999599999999,FB
43,2019-11-08,65.035004,AAPL
44,2019-11-08,145.96000700000002,MSFT
45,2019-11-11,189.610001,FB
46,2019-11-11,65.550003,AAPL
47,2019-11-11,146.110001,MSFT
48,2019-11-12,194.470001,FB
49,2019-11-12,65.489998,AAPL
50,2019-11-12,147.070007,MSFT
51,2019-11-13,193.190002,FB
52,2019-11-13,66.1175,AAPL
53,2019-11-13,147.309998,MSFT
54,2019-11-14,193.149994,FB
55,2019-11-14,65.660004,AAPL
56,2019-11-14,148.059998,MSFT
57,2019-11-15,195.100006,FB
58,2019-11-15,66.440002,AAPL
59,2019-11-15,149.970001,MSFT
60,2019-11-18,197.399994,FB
61,2019-11-18,66.775002,AAPL
62,2019-11-18,150.33999599999999,MSFT
63,2019-11-19,199.320007,FB
64,2019-11-19,66.572502,AAPL
65,2019-11-19,150.389999,MSFT
66,2019-11-20,197.509995,FB
67,2019-11-20,65.797501,AAPL
68,2019-11-20,149.619995,MSFT
69,2019-11-21,197.929993,FB
70,2019-11-21,65.502502,AAPL
71,2019-11-21,149.479996,MSFT
72,2019-11-22,198.820007,FB
73,2019-11-22,65.445,AAPL
74,2019-11-22,149.58999599999999,MSFT
75,2019-11-25,199.78999299999998,FB
76,2019-11-25,66.592499,AAPL
77,2019-11-25,151.229996,MSFT
78,2019-11-26,198.970001,FB
79,2019-11-26,66.072502,AAPL
80,2019-11-26,152.029999,MSFT
81,2019-11-27,202.0,FB
82,2019-11-27,66.959999,AAPL
83,2019-11-27,152.320007,MSFT
84,2019-11-29,201.639999,FB
85,2019-11-29,66.8125,AAPL
86,2019-11-29,151.380005,MSFT
87,2019-12-02,199.699997,FB
88,2019-12-02,66.040001,AAPL
89,2019-12-02,149.550003,MSFT
90,2019-12-03,198.820007,FB
91,2019-12-03,64.862503,AAPL
92,2019-12-03,149.309998,MSFT
93,2019-12-04,198.71000700000002,FB
94,2019-12-04,65.434998,AAPL
95,2019-12-04,149.850006,MSFT
96,2019-12-05,199.360001,FB
97,2019-12-05,66.394997,AAPL
98,2019-12-05,149.929993,MSFT
99,2019-12-06,201.050003,FB
100,2019-12-06,67.677498,AAPL
101,2019-12-06,151.75,MSFT
102,2019-12-09,201.33999599999999,FB
103,2019-12-09,66.730003,AAPL
104,2019-12-09,151.360001,MSFT
105,2019-12-10,200.869995,FB
106,2019-12-10,67.120003,AAPL
107,2019-12-10,151.130005,MSFT
108,2019-12-11,202.259995,FB
109,2019-12-11,67.692497,AAPL
110,2019-12-11,151.699997,MSFT
111,2019-12-12,196.75,FB
112,2019-12-12,67.864998,AAPL
113,2019-12-12,153.240005,MSFT
114,2019-12-13,194.110001,FB
115,2019-12-13,68.787498,AAPL
116,2019-12-13,154.529999,MSFT
117,2019-12-16,197.919998,FB
118,2019-12-16,69.964996,AAPL
119,2019-12-16,155.529999,MSFT
120,2019-12-17,198.389999,FB
121,2019-12-17,70.102501,AAPL
122,2019-12-17,154.690002,MSFT
123,2019-12-18,202.5,FB
124,2019-12-18,69.934998,AAPL
125,2019-12-18,154.369995,MSFT
126,2019-12-19,206.059998,FB
127,2019-12-19,70.004997,AAPL
128,2019-12-19,155.71000700000002,MSFT
129,2019-12-20,206.300003,FB
130,2019-12-20,69.860001,AAPL
131,2019-12-20,157.41000400000001,MSFT
132,2019-12-23,206.179993,FB
133,2019-12-23,71.0,AAPL
134,2019-12-23,157.41000400000001,MSFT
135,2019-12-24,205.119995,FB
136,2019-12-24,71.067497,AAPL
137,2019-12-24,157.380005,MSFT
138,2019-12-26,207.78999299999998,FB
139,2019-12-26,72.477501,AAPL
140,2019-12-26,158.669998,MSFT
141,2019-12-27,208.100006,FB
142,2019-12-27,72.449997,AAPL
143,2019-12-27,158.96000700000002,MSFT
144,2019-12-30,204.41000400000001,FB
145,2019-12-30,72.879997,AAPL
146,2019-12-30,157.58999599999999,MSFT
147,2019-12-31,205.25,FB
148,2019-12-31,73.412498,AAPL
149,2019-12-31,157.699997,MSFT
150,2020-01-02,209.77999900000003,FB
151,2020-01-02,75.087502,AAPL
152,2020-01-02,160.619995,MSFT
153,2020-01-03,208.669998,FB
154,2020-01-03,74.35749799999999,AAPL
155,2020-01-03,158.619995,MSFT
156,2020-01-06,212.600006,FB
157,2020-01-06,74.949997,AAPL
158,2020-01-06,159.029999,MSFT
159,2020-01-07,213.059998,FB
160,2020-01-07,74.597504,AAPL
161,2020-01-07,157.580002,MSFT
162,2020-01-08,215.22000099999997,FB
163,2020-01-08,75.797501,AAPL
164,2020-01-08,160.08999599999999,MSFT
165,2020-01-09,218.30000299999998,FB
166,2020-01-09,77.407501,AAPL
167,2020-01-09,162.08999599999999,MSFT
168,2020-01-10,218.059998,FB
169,2020-01-10,77.582497,AAPL
170,2020-01-10,161.33999599999999,MSFT
171,2020-01-13,221.91000400000001,FB
172,2020-01-13,79.239998,AAPL
173,2020-01-13,163.279999,MSFT
174,2020-01-14,219.059998,FB
175,2020-01-14,78.16999799999999,AAPL
176,2020-01-14,162.130005,MSFT
177,2020-01-15,221.149994,FB
178,2020-01-15,77.834999,AAPL
179,2020-01-15,163.179993,MSFT
180,2020-01-16,221.770004,FB
181,2020-01-16,78.809998,AAPL
182,2020-01-16,166.169998,MSFT
183,2020-01-17,222.13999900000002,FB
184,2020-01-17,79.682503,AAPL
185,2020-01-17,167.100006,MSFT
186,2020-01-21,221.440002,FB
187,2020-01-21,79.14250200000001,AAPL
188,2020-01-21,166.5,MSFT
189,2020-01-22,221.32000699999998,FB
190,2020-01-22,79.425003,AAPL
191,2020-01-22,165.699997,MSFT
